Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP
William Saliba,fr FRA,DF,22-285,20,1473,1591,92.6,25457,9253,624,661,94.4,763,809,94.3,69,92,75,1,0.1,0.6,0.9,4,90,3,0,81
Declan Rice,eng ENG,MF,24-354,19.4,1258,1384,90.9,21510,5768,560,603,92.9,586,610,96.1,88,125,70.4,1,2.1,1.2,-1.1,15,167,18,1,184
Bukayo Saka,eng ENG,FW,22-120,18.4,667,878,76,10304,2620,384,430,89.3,211,276,76.4,56,109,51.4,6,5.4,6.5,0.6,50,20,36,8,67
Martin Ødegaard,no NOR,MF,25-017,16.7,800,945,84.7,12115,3330,430,467,92.1,291,335,86.9,45,75,60,3,3.5,4.4,-0.5,44,70,47,6,141
Ben White,eng ENG,DF,26-087,16.4,981,1155,84.9,15445,5279,505,559,90.3,409,458,89.3,49,101,48.5,1,1.9,1.9,-0.9,16,88,20,6,85
Gabriel Martinelli,br BRA,FW,22-199,14.3,475,617,77,7618,1484,263,305,86.2,165,204,80.9,38,73,52.1,2,2.4,2.9,-0.4,28,18,26,6,45
Gabriel Dos Santos,br BRA,DF,26-015,16.3,891,1029,86.6,15201,4900,392,419,93.6,428,474,90.3,59,105,56.2,0,0.7,0.4,-0.7,3,72,4,1,65
David Raya,es ESP,GK,28-110,15,392,510,76.9,9320,6493,116,116,100,198,198,100,78,192,40.6,0,0,0,0,0,18,0,0,1
Oleksandr Zinchenko,ua UKR,DF,27-019,13.4,960,1095,87.7,16401,4806,436,467,93.4,428,472,90.7,74,107,69.2,1,1.6,2.2,-0.6,19,116,31,2,161
Kai Havertz,de GER,MF,24-206,13,357,441,81,4664,1074,241,278,86.7,98,125,78.4,5,8,62.5,1,1.2,1.3,-0.2,16,33,14,0,52
Gabriel Jesus,br BRA,FW,26-275,10.4,253,314,80.6,3281,568,159,185,85.9,75,89,84.3,3,8,37.5,1,1.4,1.4,-0.4,17,11,10,0,28
Eddie Nketiah,eng ENG,FW,24-218,10.8,144,182,79.1,1988,193,83,101,82.2,51,58,87.9,3,4,75,1,0.5,0.5,0.5,7,6,3,0,15
Leandro Trossard,be BEL,"FW,MF",29-030,7.4,211,310,68.1,3370,895,105,133,78.9,89,124,71.8,13,32,40.6,1,1.7,1.3,-0.7,13,12,15,3,39
Takehiro Tomiyasu,jp JPN,DF,25-059,7,397,478,83.1,6216,1599,204,227,89.9,168,194,86.6,18,39,46.2,1,0.2,0.4,0.8,2,41,7,1,58
Aaron Ramsdale,eng ENG,GK,25-234,5,113,151,74.8,2697,1943,36,36,100,52,53,98.1,25,61,41,0,0,0,0,0,4,0,0,2
Jorginho,it ITA,MF,32-014,4.3,295,325,90.8,5006,1214,131,138,94.9,141,151,93.4,18,25,72,0,0.1,0.3,-0.1,3,38,5,1,36
Jakub Kiwior,pl POL,DF,23-322,3.3,183,213,85.9,3360,1125,76,87,87.4,87,92,94.6,18,28,64.3,0,0,0.1,0,0,15,3,1,20
Thomas Partey,gh GHA,"DF,MF",30-204,2.8,229,252,90.9,3754,1034,115,122,94.3,91,101,90.1,18,23,78.3,0,0.1,0.2,-0.1,3,28,8,2,33
Fabio Vieira,pt POR,MF,23-218,2.7,91,115,79.1,1564,303,46,52,88.5,36,44,81.8,8,15,53.3,2,1.1,0.5,0.9,3,9,3,1,12
Emile Smith Rowe,eng ENG,MF,23-159,1.3,60,72,83.3,852,201,36,43,83.7,22,23,95.7,1,2,50,1,0.1,0.1,0.9,1,7,3,0,8
Jurriën Timber,nl NED,DF,22-200,0.5,44,49,89.8,654,152,21,22,95.5,23,26,88.5,0,0,,0,0,0,0,0,9,0,0,7
Reiss Nelson,eng ENG,"FW,MF",24-024,1.2,53,62,85.5,796,171,29,30,96.7,17,20,85,5,8,62.5,0,0.5,0.3,-0.5,2,1,3,2,2
Mohamed Elneny,eg EGY,MF,31-176,0,10,11,90.9,165,45,5,6,83.3,5,5,100,0,0,,0,0,0,0,0,0,0,0,0
